"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 05 13:46:55 ICT 2020","Sun Jan 05 13:47:15 ICT 2020","20523","","test_simple","","","","test_verify3_registration",""
"passed","Sun Jan 05 13:47:15 ICT 2020","Sun Jan 05 13:47:35 ICT 2020","19689","","test_simple","","","","test_verify4_registration",""
"passed","Sun Jan 05 13:49:11 ICT 2020","Sun Jan 05 13:49:26 ICT 2020","15054","","test_simple2","","","","test_verify10_registration",""
"passed","Sun Jan 05 13:46:38 ICT 2020","Sun Jan 05 13:46:55 ICT 2020","16622","","test_simple","","","","test_verify2_registration",""
"passed","Sun Jan 05 13:48:15 ICT 2020","Sun Jan 05 13:48:35 ICT 2020","20322","","test_simple2","","","","test_verify7_registration",""
"passed","Sun Jan 05 13:47:56 ICT 2020","Sun Jan 05 13:48:15 ICT 2020","18783","","test_simple2","","","","test_verify6_registration",""
"passed","Sun Jan 05 13:46:20 ICT 2020","Sun Jan 05 13:46:38 ICT 2020","18003","","test_simple","","","","test_verify_registration",""
"passed","Sun Jan 05 13:48:54 ICT 2020","Sun Jan 05 13:49:11 ICT 2020","17492","","test_simple2","","","","test_verify9_registration",""
"passed","Sun Jan 05 13:48:35 ICT 2020","Sun Jan 05 13:48:54 ICT 2020","18930","","test_simple2","","","","test_verify8_registration",""
"passed","Sun Jan 05 13:47:35 ICT 2020","Sun Jan 05 13:47:56 ICT 2020","20676","","test_simple","","","","test_verify5_registration",""
